node_id,lat,lon,junction_complexity
17327095,12.9105419,77.5987208,4
17327139,12.9349653,77.6240716,3
17327141,12.9384931,77.6291682,3
17327420,13.0952244,77.5941775,3
17327433,12.9859511,77.5793248,3
26529532,12.9785543,77.6205594,3
26529574,12.9871884,77.6225171,3
26529589,12.9814677,77.615623,3
26529606,12.9780194,77.6188785,4
60952254,12.9709016,77.6048071,4
60952290,12.9586127,77.6046028,3
60952294,12.9599337,77.6019168,3
60952298,12.9583662,77.602182,3
60952302,12.9548903,77.6054236,3
61746203,12.9409573,77.6276734,3
61746206,12.9404239,77.62834,3
61746207,12.9401189,77.6283899,4
61746209,12.9401677,77.6286928,4
61746218,12.9460158,77.6186662,3
61746220,12.9412556,77.6241534,3
61746221,12.944154,77.620952,3
61748553,12.952415,77.6202156,3
61748559,12.9622709,77.5959673,3
62011481,12.9731757,77.6094835,4
62013232,12.9563761,77.6057304,3
62053447,12.9706127,77.5068443,3
62053453,12.9705056,77.5073453,3
62053457,12.9697518,77.5071119,3
62053477,12.9693489,77.5087625,3
62053482,12.970034,77.5090988,3
62053486,12.9707297,77.5087595,3
62053496,12.9717297,77.5076555,4
62053503,12.960517,77.5043062,4
62053522,12.962701,77.5048941,3
62053537,12.9644287,77.5048448,3
62053583,12.9706305,77.5068078,3
62053607,12.9742696,77.5090727,3
62053640,12.9797574,77.510698,4
62053645,12.960513,77.5043695,4
62053697,12.9665604,77.5050905,3
62053715,12.9696201,77.5064186,3
62053741,12.974244,77.5091991,3
62055112,12.9689601,77.5086362,3
62056927,12.9694985,77.509176,3
62056933,12.967001,77.5082132,4
62056943,12.9635379,77.5113351,3
62056949,12.9611772,77.5107713,4
62067302,12.9615523,77.5888332,3
66626092,12.9445332,77.4950045,3
66626119,12.9393552,77.4929522,3
66626160,12.93275,77.4881646,3
66626167,12.931903,77.4877917,3
66666524,12.9092685,77.4784123,3
66666538,12.9082925,77.4771347,4
66666569,12.902377,77.4693387,3
176470757,12.9325969,77.5452188,3
176470758,12.9344507,77.5467638,4
176470763,12.937997,77.5497383,4
176470772,12.9385352,77.5535754,3
176470773,12.9383966,77.5550068,4
245613696,12.9245641,77.6179924,3
245615180,12.967776,77.5882547,3
245617178,13.0397115,77.5186064,3
246167200,12.9673249,77.5949443,3
